name, short_description, description, price, duration, category, status, featured, priority
Eyebrow tinting and threading,Eyebrow tinting and threading,"At Red Velvet Beauty Salon, we believe that eyebrows can communicate a lot about one’s expression and image. Eyebrows give shape to the face and define the eyes and the forehead. As such we use eyebrow tinting and threading since they are the best tools for hair removal and contribute to face characterization. 
Now, eyebrow threading ensures that the top layer of the skin is always intact and prevents reddening or skin irritation. Instead of plucking, threading removes a single line of unwanted hair not just for the brow line but the lip and chin as well. We then roll over the threads in the area that has unwanted hair which in turn removes the hairs from the follicles leaving a clean and neat brow hairline. 
On the other hand, eyebrow tinting compliments your color and style. We provide the best colors that are a match, and that will compliment your best features. Additionally, eyebrow tinting fills in the image to present a full and more emphasized brow line. All these efforts are so that we accentuate and highlight your beauty in the best ways possible. What better way is there if not through eyebrow tinting and threading? We work towards bringing forth a more confident and attractive personality by enhancing the beauty in you.",,,Beauty,published,false,1
Red Velvet makeup services,Red Velvet makeup services,"We have different versions of makeup services to cater for every kind of occasion. Our team often gives you two options when you come to our salon. You can either choose the makeup style that you want from the gallery selection or allows us to custom make a makeup style that will suit your features and the occasion you are preparing to attend. Even if you want to bring a snapshot of a previous makeup look that you rocked, we would be glad to create the same look for you. 
For the sake of our clients, we have personalized quotes in case you need one or two people from our team to take a tour with you down the memory lane. As long as there is a contract agreement, we will travel with you to any place of your destination just so that we ensure that you look your best. That is how much we care about our clients. We are all about building trust and cementing relationships that will last for generations to come.",,,Beauty,published,false,1
Bridal makeup,Bridal makeup,"We love to be part and parcel of your big day. Common knowledge is that the bride should be the most stunningly beautiful person in the room. At Red Velvet Salon, we will make that dream come true for you. We do not count the cost of traveling all around Dubai just to beautify you on your wedding day. Our salon is in a strategic and conveniently nearing the stunning places of Dubai which makes it easy for us to rush when you call. 
So as to ensure that your big day is a success we advise that you make an early booking so that we can have sufficient time to consult with you. Consultation, in this case, involves you letting us in on some things. For instance, we will need to know the color theme so that we see the colors to use for the nail polish and other necessities.  Additionally, the number of the bridesmaids is vital so that we are better able to plan our schedule. Feel free to bring the magazine cuttings and other relevant pieces of artwork that you have envisioned for your big day, and we will make your dream make up wedding come to reality. There are things we consider when settling for the perfect wedding look that will suit you. We find the skin color, the wedding style that you intend to have, and your appearance (in this case could be the shape of your face, your hair texture and how long or short the hair is). After all, the essence is to ensure that your make up will complement your features and your day as well.",,,Beauty,published,false,1
The importance of a makeup trial,The importance of a makeup trial,"Is it helpful to have an initial makeup trial before the big day, you may ask? Well, the makeup trial sets the mood and helps to ascertain what we will use on the big day. A makeup trial is the best time to get to know your stylist. Once you are familiar with your stylist, then you will be relaxed through the wedding day because you will be with them the whole good day. Besides, it is an excellent opportunity to amp the excitement for the big day with a sneak preview of your look for the big day. You deserve to be calm and relaxed through it all. 
Besides, there are some beauty applications that need to be done a few days before the wedding day such as facial and deep cleansing. For instance, for the facial and the deep cleansing to properly work the magic, you need to do it maybe say two days before the wedding day. That way, the impurities will have been washed away, and you will look smooth like a newborn. Trust me; you do not want to do facial on the actual date. 
Make an appointment with us today, and we will give you a very affordable quote, and we can begin working together.",,,Beauty,published,false,1
The henna magic,The henna magic,"Henna is a flowering shrub with a variety of uses. The flowers are used to create a fragrant perfume. The leaves, on the other hand, are dried after which they are powdered and used to dye hair, clothes and the skin though temporarily. Dyeing the skin using henna is the art of henna tattooing. Traditionally the Indians used the technique of applying henna for celebrations and during the rites of passage.
As soon as you decide what you want to draw, we will have a ready team with all the expertise and professionalism all set to bring a beautiful tattoo to fit the specific occasion. We have different designs from which you can choose from, or you can give us one of your designs. Given that henna tattooing is temporary, it serves as an excellent way to express one’s feelings and thoughts especially during occasions and special events.",,,Beauty,published,false,1
Body waxing,Body waxing,"For some good reasons, waxing has become popular over the years. It is an excellent method of removing unwanted hair and ensuring that your skin looks attractive, young and smooth. Here at Red Velvet Salon, we offer two types of waxing: cold waxing and hot waxing.",,,Body,published,false,1
Cold waxing,Cold waxing,"Cold waxing involves the application of a semi-solid form of wax on the strips and then applied on the skin. The pieces press against the surface in a way that only targets the hair. Afterwards, the strips are pulled out, and the unwanted hairs come off during the pulling. Cold waxing is efficient as soon as you make the first application. Plus it is also relatively less painful than hot waxing. You thus do not need to repeat the process immediately.",,,Body,published,false,1
Hot waxing,Hot waxing,"In this case, hot wax is applied to the body just as the name implies before the application of the strip and the removal of the hair. Well, hot waxing has accurate results and as such ideal for areas that are small such as the eyebrows. 
We specialize in both hot and cold waxing and the results are always surprising. Other waxing techniques that we have include bikini line touch up, full bikini line waxing, French waxing, Brazilian waxing and eyebrow sculpting among others. We are just a call away. Contact us today for all your waxing needs, and we will be sure to deliver.",,,Body,published,false,1
Body massages,Body massages,"We live in an era where all we do the whole day is sit behind the desk for an entire eight or nine hours a day. Science reveals that this can cause pressure on the back, the shoulders and the neck. That is why we here at Red Velvet Salon offer special body massages that are meant to relieve the tension and the stress from your body. Besides, the work pressure can also cause stress and endless splitting headaches that only work to the detriment of your health. Again, scientific research shows that massages can help relieve stress and anxiety and thus ensuring mental health. Allow us here at Red Velvet Salon to be the bridge that you can walk across to the other side of physical and psychological health. Our massage services are skillful, soothing and engaging to create a real haven like experience. We have a wide range of massage services
● Aching joints massages
● Head, neck and shoulder massage 
● Body scrubs 
To ensure that your skin looks fresh and elastic, then you most certainly need a body scrub. In as much as waxing may help your skin look healthy and shiny, it cannot compare with the benefits of scrubs. Scrubs have an overall role in the maintenance of healthy skin. Scrubs combine a variety of products that revitalize your skin and enhance the beauty. At Red Velvet, we use two types of body scrubs.",,,Body,published,false,1
Sugar body scrubs,Sugar body scrubs,"Sugar body scrubs are the most popular. On the sugar-based scrub, we add glycerin to make the scrub pasty like to which we apply on the skin. Sugar scrubs are not all that abrasive which makes it an excellent option for many people. The list below represents the benefits of using the sugar body scrub
● It ensures that the skin is ready for an even tan 
● It awakens the skin pores to ensure that they work efficiently
● The oil used relaxes and stimulates the surface prepared for rejuvenation",,,Body,published,false,1
Fruit body scrubs,Fruit body scrubs,"Fruits have natural oils that make them ideal for use in body scrubs. Besides the fact that fruit body scrubs eliminate the toxins, they have a sweet smelling fragrance that relaxes the mind and leaves one longing for more. Fruits body scrubs remove the dead skins cells due to exfoliation. Removal of dead skin allows the skin to stay moisturized all day long. Finally, it is an ideal self-skin tanning strategy for most people.",,,Body,published,false,1
Thermoherb mask,Thermoherb mask,"Thermoherb mask ensures deep cleansing and the tightening of the skin. The hood has a combination of different herbal extracts. Once the cover is in use, it hardens and generates heat creating an ideal temperature between the mask and the skin.  This perfect temperature is what improves the skin’s absorption rate. The result is a more elastic skin with minimal or no wrinkles.",,,Skin and facial treatments,published,false,1
Shahnaz diamond facial,Shahnaz diamond facial,"It is an advanced skin care treatment since it combines both organic extracts/oil with diamond ash. When used, it exfoliates the skin and speeds up the cells renewal processes. Additionally, Shahnaz diamond facial treatment has an enrichment of different health elements which include olive, almond, apricot oil, Aloe Vera, coconut oil, lemon peel, honey and Vitamin E, all of which come in handy when cleansing, and revitalizing the skin.",,,Skin and facial treatments,published,false,1
Shahnaz gold facial,Shahnaz gold facial,"The gold facial treatment is a good anti-ageing skin care plan. It is efficient for skin hydration and it ensures that the skin stays firm and with no wrinkles.",,,Skin and facial treatments,published,false,1
Shahnaz pearl facial,Shahnaz pearl facial,"The powder in pearls is an excellent transmitter of natural pigments on the skin. These natural pigments counteract the sun’s damage to the skin and in effect lightening and brightening up the skin complexion.",,,Skin and facial treatments,published,false,1
Shahnaz oxygen facial,Shahnaz oxygen facial,"Oxygen facial favors all kinds of skin types. Be it the dry kind, the oily skin type or the normal one at that. In here is a secret of how you can tell what your skin type is. When you wake up in the morning, before anything else, wipe your face with a clean tissue. If the cloth is clean, then the chances are that your skin is a normal to dry skin. However, if the fabric is soiled, then your skin is a normal to oily skin. Shahnaz oxygen facial is thus the ideal one regardless of your skin type. Plus it revitalizes the skin and provides an extra enriching layer.",,,Skin and facial treatments,published,false,1
Shahnaz eye treatment,Shahnaz eye treatment,"The treatment is for sensitive skin around the eyes. The treatment clears the blackened areas that are below the eyes to ensure that they correspond with the rest of the surface.",,,Skin and facial treatments,published,false,1
Acne treatment,Acne treatment,"The acne treatment formula exfoliates the pores to heal acne and pimples from the root of the problem. After the removal of the dead skin, there is a better circulation of blood to the skin surface and thus refreshing the skin. Additionally, the acne treatment protects the skin against the sun by ensuring that the skin stays moisturized.",,,Skin and facial treatments,published,false,1
Cleansing galvanic treatments,Cleansing galvanic treatments,"The galvanic cleansing procedure removes dirt, stale sweat, dead skin and pollutants that accumulate in the body over time. This product uses a combination of herbal, fruit and vegetable extracts making it an all natural recipe solution for cleansing the skin. The natural extracts are efficient for ensuring the deep penetration of minerals, vitamins, and other enzymes and thus hydrating the skin. 

Red Velvet Salon, Dubai, UAE is a one-stop salon shop. We offer all of the above services with excellent customer service. For the many years that we have been in business, we have been able to service our clients with utmost dignity, and that keeps us going. More so we work under the influence of the disciplines of professionalism, integrity, loyalty and hard work. You would agree with us that the said disciplines are the foundations upon which most business enterprises thrive on. Get in touch with us and fill out our application form so that we can get back to you with the ideal quote for our products and services",,,Skin and facial treatments,published,false,1



























